,index,concept,pal,accuracy,source,pal_conc
98,9162,banana,0,0.0,data,0banana
99,9188,banana,0,0.0,data,0banana
100,9200,banana,0,1.0,data,0banana
101,9243,banana,0,1.0,data,0banana
102,9289,banana,0,0.0,data,0banana
103,9319,banana,0,1.0,data,0banana
104,10549,banana,0,1.0,data,0banana
105,10577,banana,0,1.0,data,0banana
106,10599,banana,0,1.0,data,0banana
107,10654,banana,0,1.0,data,0banana
108,10688,banana,0,1.0,data,0banana
109,10696,banana,0,1.0,data,0banana
110,10766,banana,0,1.0,data,0banana
111,10775,banana,0,1.0,data,0banana
112,11124,banana,0,1.0,data,0banana
113,11150,banana,0,1.0,data,0banana
114,11195,banana,0,1.0,data,0banana
115,11209,banana,0,1.0,data,0banana
116,11273,banana,0,1.0,data,0banana
117,11300,banana,0,1.0,data,0banana
118,11346,banana,0,1.0,data,0banana
119,11363,banana,0,1.0,data,0banana
120,11416,banana,0,0.0,data,0banana
121,11451,banana,0,0.0,data,0banana
122,11475,banana,0,0.0,data,0banana
123,11518,banana,0,0.0,data,0banana
124,11558,banana,0,0.0,data,0banana
125,11604,banana,0,1.0,data,0banana
126,11621,banana,0,0.0,data,0banana
127,11669,banana,0,1.0,data,0banana
128,11697,banana,0,1.0,data,0banana
129,11745,banana,0,0.0,data,0banana
130,11775,banana,0,1.0,data,0banana
131,11808,banana,0,1.0,data,0banana
132,11852,banana,0,1.0,data,0banana
133,11874,banana,0,0.0,data,0banana
134,11903,banana,0,1.0,data,0banana
135,11970,banana,0,0.0,data,0banana
136,12272,banana,0,0.0,data,0banana
137,12316,banana,0,0.0,data,0banana
138,12350,banana,0,0.0,data,0banana
139,12395,banana,0,1.0,data,0banana
140,12430,banana,0,0.0,data,0banana
141,12461,banana,0,0.0,data,0banana
142,12507,banana,0,1.0,data,0banana
143,12549,banana,0,0.0,data,0banana
144,13174,banana,0,1.0,data,0banana
145,13189,banana,0,1.0,data,0banana
146,13238,banana,0,1.0,data,0banana
147,13279,banana,0,1.0,data,0banana
148,13293,banana,0,1.0,data,0banana
149,13331,banana,0,1.0,data,0banana
150,13384,banana,0,1.0,data,0banana
151,13416,banana,0,1.0,data,0banana
152,13760,banana,0,0.0,data,0banana
153,13793,banana,0,0.0,data,0banana
154,13805,banana,0,1.0,data,0banana
155,13855,banana,0,1.0,data,0banana
156,13888,banana,0,1.0,data,0banana
157,13910,banana,0,0.0,data,0banana
158,13947,banana,0,1.0,data,0banana
159,13990,banana,0,1.0,data,0banana
160,14604,banana,0,0.0,data,0banana
161,14651,banana,0,0.0,data,0banana
162,14703,banana,0,0.0,data,0banana
163,14716,banana,0,0.0,data,0banana
164,14749,banana,0,1.0,data,0banana
165,14785,banana,0,0.0,data,0banana
166,14822,banana,0,0.0,data,0banana
167,14882,banana,0,0.0,data,0banana
168,14904,banana,0,1.0,data,0banana
169,14957,banana,0,1.0,data,0banana
170,14969,banana,0,1.0,data,0banana
171,15007,banana,0,1.0,data,0banana
172,15050,banana,0,1.0,data,0banana
173,15091,banana,0,1.0,data,0banana
174,15116,banana,0,1.0,data,0banana
175,15178,banana,0,1.0,data,0banana
176,15484,banana,0,1.0,data,0banana
177,15519,banana,0,1.0,data,0banana
178,15585,banana,0,1.0,data,0banana
179,15607,banana,0,1.0,data,0banana
180,15633,banana,0,1.0,data,0banana
181,15692,banana,0,1.0,data,0banana
182,15726,banana,0,1.0,data,0banana
183,15762,banana,0,1.0,data,0banana
184,16080,banana,0,0.0,data,0banana
185,16129,banana,0,1.0,data,0banana
186,16171,banana,0,0.0,data,0banana
187,16178,banana,0,1.0,data,0banana
188,16217,banana,0,1.0,data,0banana
189,16279,banana,0,1.0,data,0banana
190,16288,banana,0,1.0,data,0banana
191,16334,banana,0,1.0,data,0banana
192,16364,banana,0,0.0,data,0banana
193,16410,banana,0,0.0,data,0banana
194,16448,banana,0,1.0,data,0banana
195,16491,banana,0,1.0,data,0banana
196,16514,banana,0,0.0,data,0banana
197,16553,banana,0,0.0,data,0banana
198,16577,banana,0,0.0,data,0banana
199,16627,banana,0,0.0,data,0banana
200,16664,banana,0,1.0,data,0banana
201,16690,banana,0,0.0,data,0banana
202,16721,banana,0,1.0,data,0banana
203,16780,banana,0,1.0,data,0banana
204,16811,banana,0,1.0,data,0banana
205,16862,banana,0,0.0,data,0banana
206,16881,banana,0,1.0,data,0banana
207,16927,banana,0,0.0,data,0banana
208,16963,banana,0,1.0,data,0banana
209,16980,banana,0,1.0,data,0banana
210,17029,banana,0,1.0,data,0banana
211,17077,banana,0,1.0,data,0banana
212,17092,banana,0,1.0,data,0banana
213,17146,banana,0,1.0,data,0banana
214,17166,banana,0,1.0,data,0banana
215,17199,banana,0,0.0,data,0banana
216,18108,banana,0,1.0,data,0banana
217,18162,banana,0,0.0,data,0banana
218,18202,banana,0,1.0,data,0banana
219,18235,banana,0,1.0,data,0banana
220,18253,banana,0,0.0,data,0banana
221,18299,banana,0,1.0,data,0banana
222,18357,banana,0,1.0,data,0banana
223,18372,banana,0,1.0,data,0banana
224,18727,banana,0,1.0,data,0banana
225,18745,banana,0,0.0,data,0banana
226,18782,banana,0,1.0,data,0banana
227,18818,banana,0,1.0,data,0banana
228,18865,banana,0,0.0,data,0banana
229,18888,banana,0,1.0,data,0banana
230,18908,banana,0,0.0,data,0banana
231,18971,banana,0,1.0,data,0banana
232,19010,banana,0,0.0,data,0banana
233,19049,banana,0,0.0,data,0banana
234,19086,banana,0,0.0,data,0banana
235,19120,banana,0,0.0,data,0banana
236,19161,banana,0,0.0,data,0banana
237,19175,banana,0,0.0,data,0banana
238,19204,banana,0,0.0,data,0banana
239,19251,banana,0,0.0,data,0banana
240,20458,banana,0,1.0,data,0banana
241,20495,banana,0,1.0,data,0banana
242,20545,banana,0,0.0,data,0banana
243,20556,banana,0,1.0,data,0banana
244,20600,banana,0,1.0,data,0banana
245,20626,banana,0,0.0,data,0banana
246,20661,banana,0,0.0,data,0banana
247,20707,banana,0,0.0,data,0banana
248,21044,banana,0,1.0,data,0banana
249,21075,banana,0,1.0,data,0banana
250,21127,banana,0,1.0,data,0banana
251,21153,banana,0,1.0,data,0banana
252,21190,banana,0,1.0,data,0banana
253,21242,banana,0,1.0,data,0banana
254,21276,banana,0,1.0,data,0banana
255,21309,banana,0,1.0,data,0banana
256,21354,banana,0,1.0,data,0banana
