,concept_set_idx,TV
0,0,0.8015978456673287
1,1,0.846172369324004
2,2,0.25759857149717624
3,3,0.878489284471744
4,4,0.84046342760033
5,5,1.1975373296781822
6,6,0.6844009300357592
7,7,0.5028301365327204
8,8,0.7623234553494418
9,9,0.8934939259934553
10,10,0.3904923337882682
11,11,0.8744633906741328
12,12,0.7457338038835246
13,13,0.9329899056292357
14,14,0.6898761385544956
15,15,0.41597782702827324
