,subject_id,trial_index,condition,pal_source,order_num,category,repetition,answer,bar_col,response,accuracy,total_accuracy,rt,concreteness_cond,context,concept_cat,con_pal_conc,pairing_concreteness,pair_labels
8,08ghd74tvd,43,1,"""uw_711""",3,"""p6""",0,banana,#fcdb42,banana,1,4.0,7312.0,conc,within,fruits,1p6banana,conc,fruit1
9,08ghd74tvd,43,1,"""uw_711""",3,"""p6""",0,grape,#5e2b3a,grape,1,4.0,7312.0,conc,within,fruits,1p6grape,conc,fruit1
10,08ghd74tvd,43,1,"""uw_711""",3,"""p6""",0,eggplant,#000000,eggplant,1,4.0,7312.0,conc,within,vegetables,1p6eggplant,conc,veg2
11,08ghd74tvd,43,1,"""uw_711""",3,"""p6""",0,celery,#8cf47e,celery,1,4.0,7312.0,conc,within,vegetables,1p6celery,conc,veg2
12,08ghd74tvd,44,1,"""uw_711""",3,"""p3""",0,efficiency,#ffffff,speed,0,1.0,24871.0,abs,within,features,1p3efficiency,abs,feat1
13,08ghd74tvd,44,1,"""uw_711""",3,"""p3""",0,working,#3b3b3b,working,1,1.0,24871.0,abs,within,activities,1p3working,abs,act2
14,08ghd74tvd,44,1,"""uw_711""",3,"""p3""",0,speed,#e81a4b,leisure,0,1.0,24871.0,abs,within,features,1p3speed,abs,feat1
15,08ghd74tvd,44,1,"""uw_711""",3,"""p3""",0,leisure,#90689f,efficiency,0,1.0,24871.0,abs,within,activities,1p3leisure,abs,act2
16,08ghd74tvd,45,1,"""uw_711""",3,"""p2""",0,banana,#d0b85a,banana,1,4.0,7685.0,mix,across,fruits,1p2banana,abs,fruit1
17,08ghd74tvd,45,1,"""uw_711""",3,"""p2""",0,sleeping,#1c3d61,sleeping,1,4.0,7685.0,mix,across,activities,1p2sleeping,conc,act1
18,08ghd74tvd,45,1,"""uw_711""",3,"""p2""",0,grape,#b62ef2,grape,1,4.0,7685.0,mix,across,fruits,1p2grape,abs,fruit1
19,08ghd74tvd,45,1,"""uw_711""",3,"""p2""",0,driving,#ea1d1d,driving,1,4.0,7685.0,mix,across,activities,1p2driving,conc,act1
20,08ghd74tvd,46,1,"""uw_711""",3,"""p4""",0,celery,#0e8a19,celery,1,4.0,11486.0,mix,across,vegetables,1p4celery,abs,veg2
21,08ghd74tvd,46,1,"""uw_711""",3,"""p4""",0,safety,#d0e942,safety,1,4.0,11486.0,mix,across,features,1p4safety,conc,feat2
22,08ghd74tvd,46,1,"""uw_711""",3,"""p4""",0,eggplant,#600b84,eggplant,1,4.0,11486.0,mix,across,vegetables,1p4eggplant,abs,veg2
23,08ghd74tvd,46,1,"""uw_711""",3,"""p4""",0,comfort,#a06776,comfort,1,4.0,11486.0,mix,across,features,1p4comfort,conc,feat2
24,08ghd74tvd,47,1,"""uw_711""",3,"""p7""",0,carrot,#ac6619,carrot,1,4.0,10426.0,mix,across,vegetables,1p7carrot,abs,veg1
25,08ghd74tvd,47,1,"""uw_711""",3,"""p7""",0,speed,#e81a4b,speed,1,4.0,10426.0,mix,across,features,1p7speed,conc,feat1
26,08ghd74tvd,47,1,"""uw_711""",3,"""p7""",0,efficiency,#5e78a1,efficiency,1,4.0,10426.0,mix,across,features,1p7efficiency,conc,feat1
27,08ghd74tvd,47,1,"""uw_711""",3,"""p7""",0,corn,#d0b85a,corn,1,4.0,10426.0,mix,across,vegetables,1p7corn,abs,veg1
28,08ghd74tvd,48,1,"""uw_711""",3,"""p8""",0,comfort,#a06776,comfort,1,4.0,15761.0,abs,within,features,1p8comfort,abs,feat2
29,08ghd74tvd,48,1,"""uw_711""",3,"""p8""",0,sleeping,#000000,sleeping,1,4.0,15761.0,abs,within,activities,1p8sleeping,abs,act1
30,08ghd74tvd,48,1,"""uw_711""",3,"""p8""",0,safety,#d0e942,safety,1,4.0,15761.0,abs,within,features,1p8safety,abs,feat2
31,08ghd74tvd,48,1,"""uw_711""",3,"""p8""",0,driving,#ea1d1d,driving,1,4.0,15761.0,abs,within,activities,1p8driving,abs,act1
32,08ghd74tvd,49,1,"""uw_711""",3,"""p1""",0,carrot,#cc4f1b,carrot,1,4.0,6988.0,conc,within,vegetables,1p1carrot,conc,veg1
33,08ghd74tvd,49,1,"""uw_711""",3,"""p1""",0,peach,#f1a78a,peach,1,4.0,6988.0,conc,within,fruits,1p1peach,conc,fruit2
34,08ghd74tvd,49,1,"""uw_711""",3,"""p1""",0,corn,#d5b811,corn,1,4.0,6988.0,conc,within,vegetables,1p1corn,conc,veg1
