,pal,total_accuracy
0,0,3.0959302325581395
1,1,2.5406976744186047
2,2,1.933139534883721
3,3,2.2325581395348837
4,4,2.822674418604651
5,5,2.697674418604651
6,6,2.877906976744186
7,7,1.5203488372093024
8,8,3.4680851063829787
9,9,3.0452127659574466
10,10,2.015957446808511
11,11,2.367021276595745
12,12,2.75
13,13,2.851063829787234
14,14,3.2127659574468086
15,15,2.6648936170212765
